,ID,Location,Price Range,City,House Style,Owner,Plot Types,Plot Sizes,Plot Prices,Link to Payment Plan,Webpage
0,1483,D-12,PKR2.15 Crore to 2.3 Crore,Islamabad,Houses,Karsaaz Builders,"4BedsHouses(Villa)
5BedsHouses(Villa)
","10Marla
10Marla
0
0
","PKR2.15Crore
PKR2.3Crore
0
0
","https://images.zameen.com/w1600_h900/7/1483/karsaaz_villas_26972.jpeg
",https://www.zameen.com/new-projects/karsaaz_villas-1483.html
1,1710,Islamabad Expressway,PKR1.2 Crore to 1.2 Crore,Islamabad,Houses,Real Unity Marketing,"Houses(House)
","5Marla
","PKR1.2Crore
","https://images.zameen.com/w1600_h900/7/1710/zainab_villas_27385.jpg
",https://www.zameen.com/new-projects/zainab_villas-1710.html
2,1694,DHA Defence Phase 3,PKR1.51 Crore to 1.9 Crore,Islamabad,Houses,Zameen Developments and ACE Group,"Houses(LakeViewHomes-Corner)
Houses(LakeViewHomes-Corner)SoldOut
Houses(LakeViewHomes-Standard)
Houses(StandardView-Corner)SoldOut
Houses(StandardView)
Houses(StandardView)
Houses(StandardView)
","5Marla
5Marla
5Marla
5Marla
5Marla
5.22Marla-6.5Marla
5.33Marla
","PKR1.6Crore
PKR1.6Crore
PKR1.56Crore-1.6Crore
PKR1.4Crore
PKR1.51Crore-1.62Crore
PKR1.54Crore-1.9Crore
PKR1.6Crore-1.62Crore
","https://images.zameen.com/w1600_h900/7/1694/zameen_ace_homes_27296.jpg
",https://www.zameen.com/new-projects/zameen_ace_homes-1694.html
3,1479,Kashmir Highway,PKR4.66 Crore to 53.92 Crore,Islamabad,Houses,"Ora Developers, Saif Group, Kohistan Builders &amp; Developers","Houses(Villas)
","205Sq.M.-3,836Sq.M.
","PKR4.66Crore-53.92Crore
","https://images.zameen.com/w1600_h900/7/1479/eighteen_26727.jpg
",https://www.zameen.com/new-projects/the_villas_by_eighteen-1479.html
4,1642,B-17,PKR95  Lakh,Islamabad,Houses,Ajaib Group,"3BedsHouses(Villa)
","1,250Sq.Ft.
0
","PKR95Lakh
0
","https://images.zameen.com/w1600_h900/7/1642/juniper_villas_25703.jpg
",https://www.zameen.com/new-projects/juniper_villas-1642.html
5,1573,Pir Sohawa,PKR5 Thousand to 25 Thousand,Islamabad,"Flats, Houses",Whispering Pines,"1BedsFlats(OneBedroom-Weekdays)
1BedsFlats(OneBedroom-Weekend)
2BedsHouses(TwoBedroomCottage-Weekdays)
2BedsHouses(TwoBedroomCottage-Weekend)
2BedsHouses(TwoBedroomVilla-Weekdays)
2BedsHouses(TwoBedroomVilla-Weekend)
3BedsHouses(ThreeBedroomVilla-Weekdays)
3BedsHouses(ThreeBedroomVilla-Weekend)
","204Sq.Ft.
204Sq.Ft.
0.8Marla
0.8Marla
0.8Marla
0.8Marla
2.26Marla
2.26Marla
0
0
0
0
0
0
0
0
","PKR5Thousand
PKR7Thousand
PKR9Thousand
PKR11Thousand
PKR13Thousand
PKR15Thousand
PKR20Thousand
PKR25Thousand
0
0
0
0
0
0
0
0
","https://images.zameen.com/w1600_h900/7/1573/whispering_pine_resort_24192.jpg
",https://www.zameen.com/new-projects/whispering_pines_resorts-1573.html
6,189,Islamabad Expressway,"Houses, Residential Plots",Islamabad,Emaar Pakistan,0,"Houses(MediterraneanTownhouse-Type1-OptionA-Midd)
Houses(MediterraneanTownhouse-Type1-OptionB-End)
Houses(MediterraneanTownhouse-Type2-MiddleUnit)
Houses(MediterraneanTownhouse-Type2-EndUnit)
Houses(Mirador-5Bedroom-TypeB3)
Houses(Mirador-5Bedroom-TypeB2)
Houses(Mirador-5Bedroom-TypeB1)
Houses(Mirador-7Bedroom-TypeC)
5BedsHouses(Prados-5Bedroom)
Houses(Mirador-4Bedroom)
ResidentialPlots(Plot)
","11.25Marla
12.37Marla
19.19Marla
20.71Marla
20Marla
12Marla-20Marla
0
","11.97Marla
12.65Marla
20.57Marla
27.59Marla
24Marla
0
",,https://www.zameen.com/new-projects/canyon_views-189.html
7,1522,Bahria Town,PKR2.6 Crore to 2.75 Crore,Islamabad,Houses,The Town Connections,"Houses(House)
","12Marla
","PKR2.6Crore-2.75Crore
","https://images.zameen.com/w1600_h900/7/1522/avenue_villas_23975.jpeg
",https://www.zameen.com/new-projects/avenue_villas-1522.html
8,1566,B-17,PKR90  Lakh to 90  Lakh,Islamabad,Houses,Voice Marketing,"4BedsHouses(Homes)
","5Marla
0
","PKR90Lakh
0
","https://images.zameen.com/w1600_h900/7/1566/lavish_villas_24209.jpeg
",https://www.zameen.com/new-projects/lavish_villas-1566.html
9,1524,D-17,PKR25  Lakh to 94  Lakh,Islamabad,"Residential Plots, Houses",Green Flag Associates,"ResidentialPlots(Plot)
ResidentialPlots(Plot)
ResidentialPlots(Plot)
Houses(Villas)
","5Marla
7Marla
10Marla
5Marla
","PKR25Lakh
PKR32.25Lakh
PKR45Lakh
PKR94Lakh
","https://images.zameen.com/w1600_h900/7/1524/smart_villas_23188.jpeg
https://images.zameen.com/w1600_h900/7/1524/smart_villas_23189.jpeg
",https://www.zameen.com/new-projects/smart_villas-1524.html
