,ID,Location,Price Range,City,House Style,Owner,Plot Types,Plot Sizes,Plot Prices,Link to Payment Plan,Webpage
0,1267,University Roa,PKR60  Lakh to 1.1 Crore,Karachi,"Houses, Residential Plots",Jumani Builders &amp; Developers,"5BedsHouses(Bungalow-DoubleStoreySingle&amp;DoubleUnit)
ResidentialPlots(Plot)
","120Sq.Yd
120Sq.Yd
0
","PKR1.1Crore
PKR60Lakh
0
","https://images.zameen.com/w1600_h900/7/1267/shahmir_residency_26808.jpg
https://images.zameen.com/w1600_h900/7/1267/shahmir_residency_26818.jpg
",https://www.zameen.com/new-projects/shahmir_residency-1267.html
1,1452,Gadap Roa,PKR88  Lakh to 88  Lakh,Karachi,Houses,Barkaat Builders &amp; Developers,"Houses(House)
","1,395Sq.Ft.
","PKR88Lakh
","https://images.zameen.com/w1600_h900/7/1452/barkaat_presidency_21524.jpeg
",https://www.zameen.com/new-projects/barkaat_presidency-1452.html
2,188,Emaar Crescent Bay,"Flats, Houses, Penthouse",Karachi,Emaar Pakistan,0,"Flats(PearlTower-1Bed-TypeA1)
Flats(CoralTower-1Bedroom-Type1)
Flats(PearlTower-2Bed-TypeD+)
Flats(PearlTower-2Bed-TypeC+)
Flats(CoralTower-2Bed-Type2)
Flats(CoralTower-2Bedr-Type1)
Flats(CoralTower-2Bed-Type3)
Flats(PearlTower-2Bed-TypeB+)
Flats(CoralTower-2Bed+Utility-Type1)
Flats(PearlTower-3Bed-TypeE+)
Flats(CoralTower-2Bed+Utility-Type3)
Flats(CoralTower-2Bed+Utility-Type2)
Flats(CoralTower-3Bed-Type1)
Flats(PearlTower-3Bed-TypeF+)
Flats(CoralTower-3Bed-Type2)
Flats(CoralTower-3Bed+Utility-Type2)
Flats(CoralTower-3Bed+Utility-Type1)
Flats(CoralTower-4Bed+Utility-Type2)
Flats(CoralTower-4Bed+Utility-Type1)
Flats(CoralTower-4Bed+Utility-Type4)
Houses(PearlTower-4Bed-GarageLevel)
Houses(PearlTower-2Bed-TypeT-GarageLevel)
Houses(PearlTower-2Bed-TypeT-Ground)
Houses(CoralTower-3Bed+Utility-TypeJ)
Houses(CoralTower-3Bedroom+Utility-TownHomes-)
Houses(CoralTower-3Bedroom+Utility-TypeH)
Houses(CoralTower-3Bed+Utility-TypeB)
Houses(CoralTower-3Bed+Utility-TypeC)
Houses(CoralTower-3Bed+Utility-TypeG)
Houses(CoralTower-3Bedroom+Utility-TypeD)
Houses(CoralTower-3Bed+Utility-TypeE)
Houses(CoralTower-3Bed+Utility-TypeF)
Houses(CoralTower-3Bedroom+Utility-TypeH)
Penthouse(PearlTower-3Bed-TypeH+-Duplex)
Penthouse(PearlTower-3Bed-TypeH+-Duplex)
Penthouse(PearlTower-3Bed-TypeI+-Duplex)
Penthouse(PearlTower-2Bed-K+)
Penthouse(PearlTower-3Bed-TypeI+-Duplex)
Penthouse(PearlTower-4Bed-TypeG+)
Penthouse(PearlTower-2BedPenthouse-TypeJ+)
Penthouse(PearlTower-5Bed-TypeL+-Duplex)
Penthouse(PearlTower-5Bed-TypeL+-Duplex)
Penthouse(CoralTower-4Bedroom-DuplexPenthouse)
Penthouse(CoralTower-4BedPenthouse)
","1,214Sq.Ft.
1,620Sq.Ft.
1,779Sq.Ft.
2,008Sq.Ft.
2,141Sq.Ft.
2,193Sq.Ft.
2,307Sq.Ft.
2,522Sq.Ft.
2,657Sq.Ft.
3,194Sq.Ft.
3.88Marla
4.96Marla
13.25Marla
14.21Marla
15.64Marla
16.15Marla
20.65Marla
1,769Sq.Ft.
2,524Sq.Ft.
2,632Sq.Ft.
3,069Sq.Ft.
5,523Sq.Ft.
","1,274Sq.Ft.
1,634Sq.Ft.
1,871Sq.Ft.
2,043Sq.Ft.
2,191Sq.Ft.
2,262Sq.Ft.
2,448Sq.Ft.
2,554Sq.Ft.
3,071Sq.Ft.
3,854Sq.Ft.
3.94Marla
12.52Marla
13.52Marla
15.14Marla
16.01Marla
17.34Marla
1,546Sq.Ft.
2,210Sq.Ft.
2,531Sq.Ft.
2,721Sq.Ft.
3,387Sq.Ft.
7,036Sq.Ft.
",,https://www.zameen.com/new-projects/crescent_bay-188.html
3,1002,Scheme 33,PKR35.5 Lakh to 98  Lakh,Karachi,Houses,Amazing Property Networks,"2BedsHouses(SingleStorey-Meadow)
4BedsHouses(OneUnit-Florance)
2BedsHouses(SingleStorey-Granada)
2BedsHouses(DoubleStorey-Valencia)
","120Sq.Yd
200Sq.Yd
120Sq.Yd
120Sq.Yd
0
0
0
0
","PKR35.5Lakh
PKR98Lakh
PKR48Lakh
PKR62Lakh
0
0
0
0
","https://images.zameen.com/w1600_h900/7/1002/ahsan_dreamland_15017.jpg
https://images.zameen.com/w1600_h900/7/1002/ahsan_dreamland_15018.jpg
https://images.zameen.com/w1600_h900/7/1002/ahsan_dreamland_15019.jpg
https://images.zameen.com/w1600_h900/7/1002/ahsan_dreamland_15020.jpg
",https://www.zameen.com/new-projects/ahsan_dreamland-1002.html
4,245,Scheme 33,PKR1.15 Crore to 1.15 Crore,Karachi,Houses,Falaknaz Properties,"4BedsHouses(HouseWith7Rooms)
","9.78Marla
0
","PKR1.15Crore
","https://images.zameen.com/w1600_h900/7/245/falaknaz_golden_pebbles_14556.jpg
",https://www.zameen.com/new-projects/falaknaz_golden_pebbles-245.html
5,1012,Northern Bypass,PKR66.42 Lakh to 1.25 Crore,Karachi,Houses,Fazaia Housing Scheme - Karach,"3BedsHouses(DoubleStorey)
3BedsHouses(SingleStorey)
4BedsHouses(DoubleStorey)
","125Sq.Yd
275Sq.Yd
275Sq.Yd
0
0
0
","PKR66.42Lakh
PKR92.05Lakh
PKR1.25Crore
0
0
0
","https://images.zameen.com/w1600_h900/7/1012/fazaia_bungalows_14422.jpg
https://images.zameen.com/w1600_h900/7/1012/fazaia_bungalows_14423.jpg
https://images.zameen.com/w1600_h900/7/1012/fazaia_bungalows_14424.jpg
",https://www.zameen.com/new-projects/fazaia_bungalows-1012.html
6,1001,Gadap Town,PKR40  Lakh to 52  Lakh,Karachi,Houses,Abdul Razzak Associates,"3BedsHouses(OneUnit)
2BedsHouses(SingleSotrey)
","120Sq.Yd
120Sq.Yd
0
0
","PKR52Lakh
PKR40Lakh
0
0
","https://images.zameen.com/w1600_h900/7/1001/surjani_villas_14127.jpg
https://images.zameen.com/w1600_h900/7/1001/surjani_villas_14128.jpg
https://images.zameen.com/w1600_h900/7/1001/surjani_villas_14150.jpg
https://images.zameen.com/w1600_h900/7/1001/surjani_villas_14151.jpg
",https://www.zameen.com/new-projects/surjani_villas-1001.html
7,454,North Nazimaba,"Houses, Residential Plots",Karachi,Javedan Corporation Limite,0,"Houses(SingleStory&amp;DoubleStoreySoldOut)SoldOut
ResidentialPlots(InBlockDSoldOut)SoldOut
ResidentialPlots(InBlockD,M&amp;NSoldOut)SoldOut
ResidentialPlots(InBlockA-SoldOut)SoldOut
ResidentialPlots(InBlockC-SoldOut)SoldOut
ResidentialPlots(InBlockC-SoldOut)SoldOut
ResidentialPlots(InBlockA,C&amp;D-SoldOut)SoldOut
Houses(OneUnit-SoldOut)SoldOut
Houses(DoubleStory-SoldOut)SoldOut
Houses(DoubleStory-SoldOut)SoldOut
","120Sq.Yd
120Sq.Yd
120Sq.Yd-240Sq.Yd
240Sq.Yd
160Sq.Yd
","160Sq.Yd
120Sq.Yd-160Sq.Yd
160Sq.Yd-240Sq.Yd
160Sq.Yd-240Sq.Yd
240Sq.Yd
","https://images.zameen.com/w1600_h900/7/454/naya_nazimabad_14029.jpg
",https://www.zameen.com/new-projects/naya_nazimabad-454.html
8,470,Scheme 33,Houses,Karachi,RimJhim Group,0,"4BedsHouses(OneUnitBungalow)
6BedsHouses(DoubleStoreyBungalow)
","0.53Marla
0
","0.73Marla
0
","https://images.zameen.com/w1600_h900/7/470/rimjhim_villas_7466.jpg
https://images.zameen.com/w1600_h900/7/470/rimjhim_villas_7467.jpg
https://images.zameen.com/w1600_h900/7/470/rimjhim_villas_7468.jpg
https://images.zameen.com/w1600_h900/7/470/rimjhim_villas_7469.jpg
https://images.zameen.com/w1600_h900/7/470/rimjhim_villas_7470.jpg
https://images.zameen.com/w1600_h900/7/470/rimjhim_villas_7471.jpg
",https://www.zameen.com/new-projects/rimjhim_villas-470.html
9,455,Abul Hassan Isphani Roa,PKR1.35 Crore to 1.4 Crore,Karachi,Houses,Black Arrow ,"Houses(BackPortion)
Houses(FrontPortion)
","8Marla
8Marla
","PKR1.35Crore
PKR1.4Crore
","https://images.zameen.com/w1600_h900/7/455/black_arrow_7526.jpg
https://images.zameen.com/w1600_h900/7/455/black_arrow_7527.jpg
https://images.zameen.com/w1600_h900/7/455/black_arrow_7528.jpg
",https://www.zameen.com/new-projects/black_arrow-455.html
