,ID,Location,Price Range,City,House Style,Owner,Plot Types,Plot Sizes,Plot Prices,Link to Payment Plan,Webpage
0,205,Al Jalil Garden,PKR17.44 Lakh to 1.05 Crore,Lahore,"Residential Plots, Commercial Plots, Houses",Al Jalil Developers,"ResidentialPlots(Plot)
ResidentialPlots(OnCash)
CommercialPlots(Standard)
CommercialPlots(MainBoulevard)
Houses(Home)
","5Marla-10.11Marla
3.71Marla-10.11Marla
1,050Sq.Ft.
1,050Sq.Ft.
5Marla
","PKR23.5Lakh-43.47Lakh
PKR17.44Lakh-40.44Lakh
PKR84Lakh
PKR1.05Crore
PKR75Lakh
","https://images.zameen.com/w1600_h900/7/205/al_jalil_garden_27200.png
",https://www.zameen.com/new-projects/al_jalil_garden-205.html
1,415,Main Canal Bank Roa,PKR72  Lakh to 2.1 Crore,Lahore,Houses,Windra Investment Group,"4BedsHouses(CoveredArea2323Sq.Ft)
4BedsHouses(CoveredArea4500Sq.Ft)
","5Marla
10Marla
0
0
","PKR72Lakh
PKR2.1Crore
0
0
",,https://www.zameen.com/new-projects/windra_homes-415.html
2,1538,DHA Defence,PKR6.1 Crore to 11.03 Crore,Lahore,"Houses, Buildings",A Joint Venture Between DHA Lahore &amp; BRDB Developments,"Houses(1KanalGolfViewVilla-TypeA)SoldOut
Houses(1KanalGolfViewPremium-TypeA)SoldOut
Houses(1KanalGolfView-TypeB)SoldOut
Houses(GolfViewPremium-TypeB)SoldOut
Houses(2KanalGolfViewVilla)
Buildings(Shop/Office-FacingCarPark)SoldOut
Buildings(Shop/Office-FacingCourtyard)SoldOut
Buildings(Shop/Office-FacingGolfCourse)SoldOut
Buildings(Shop/Office-FacingMainRoad)SoldOut
Houses(1KanalNon-GolfViewVilla)
","20Marla
20Marla
20Marla
20Marla
40Marla
8Marla
8Marla
8Marla
8Marla
20Marla
","PKR6.02Crore
PKR6.12Crore
PKR5.8Crore
PKR5.92Crore
PKR11.03Crore
PKR15.6Crore
PKR16.6Crore
PKR17.6Crore
PKR18.6Crore
PKR6.1Crore
","https://images.zameen.com/w1600_h900/7/1538/defence_raya_26547.jpg
https://images.zameen.com/w1600_h900/7/1538/defence_raya_26548.jpg
",https://www.zameen.com/new-projects/defence_raya-1538.html
3,1568,Lahore,PKR9.62 Lakh to 66  Lakh,Lahore,"Houses, Residential Plots",Al-Wahab Developers,"Houses(ModelHouse)
ResidentialPlots(BlockC)
","3Marla-5Marla
3.5Marla-10Marla
","PKR39.75Lakh-66Lakh
PKR9.62Lakh-26.5Lakh
","https://images.zameen.com/w1600_h900/7/1568/al_wahab_garden_phase_1_24386.jpeg
https://images.zameen.com/w1600_h900/7/1568/al_wahab_garden_phase_1_24387.jpeg
",https://www.zameen.com/new-projects/al_wahab_garden_phase_1-1568.html
4,652,Defence Roa,PKR1  Crore to 4.54 Crore,Lahore,"Residential Plots, Commercial Plots, Houses",Izhar Monnoo Developers,"ResidentialPlots(PlotPhase2)SoldOut
ResidentialPlots(PlotPhase-2)
CommercialPlots(PlotPhase-1)
CommercialPlots(PlotPhase-2)
4BedsHouses(House)
4BedsHouses(House)
5BedsHouses(House)
","5Marla-7Marla
10Marla-30Marla
6Marla-10Marla
10Marla
5Marla
7Marla-10Marla
20Marla-30Marla
0
0
0
","PKR54.08Lakh-75.71Lakh
PKR1Crore-2.63Crore
PKR2.47Crore-4.12Crore
PKR3.09Crore
PKR1.29Crore
PKR1.63Crore-2.11Crore
PKR3.52Crore-4.54Crore
0
0
0
","https://images.zameen.com/w1600_h900/7/652/dream_gardens_lahore_27287.jpg
https://images.zameen.com/w1600_h900/7/652/dream_gardens_lahore_27288.jpg
https://images.zameen.com/w1600_h900/7/652/dream_gardens_lahore_27289.jpg
https://images.zameen.com/w1600_h900/7/652/dream_gardens_lahore_27291.jpg
",https://www.zameen.com/new-projects/dream_gardens_lahore-652.html
5,160,Paragon City,PKR1.15 Crore to 1.18 Crore,Lahore,Houses,Executive Builders,"Houses(WoodVilla)SoldOut
Houses(WoodVilla)
","4Marla
5Marla
","PKR92Lakh-95Lakh
PKR1.15Crore-1.18Crore
","https://images.zameen.com/w1600_h900/7/160/executive_lodges_21518.jpg
",https://www.zameen.com/new-projects/executive_lodges-160.html
6,170,Raiwind Roa,PKR50.5 Lakh to 53.5 Lakh,Lahore,"Flats, Houses",Icon Valley,"2BedsFlats(GroundFloor-CoveredArea875Sq.Ft)SoldOut
2BedsFlats(FirstFloor-CoveredArea908Sq.Ft)SoldOut
2BedsFlats(SecondFloor-CoveredArea908Sq.FT)SoldOut
2BedsFlats(GroundFloor-CoveredArea975Sq.Ft)
2BedsFlats(FirstFloor-CoveredArea-1010Sq.Ft)
2BedsFlats(SecondFloor-CoveredArea1010Sq.Ft)
3BedsFlats(GroundFloor-CoveredArea1201Sq.FT)SoldOut
3BedsFlats(FirstFloor-CoveredArea1270Sq.Ft)SoldOut
3BedsFlats(SecondFloor-CoveredArea-1270Sq.Ft.)SoldOut
3BedsFlats(GroundFloor-CoveredArea1602Sq.Ft)SoldOut
3BedsFlats(FirstFloor-CoveredArea-1700Sq.Ft)SoldOut
3BedsFlats(SecondFloor-CoveredArea-1700Sq.Ft)SoldOut
4BedsHouses(Villa-CoveredArea1945Sq.Ft)SoldOut
4BedsHouses(Villa-CoveredArea2150Sq.Ft)SoldOut
4BedsHouses(Villa-CoveredArea2472Sq.Ft)SoldOut
5BedsHouses(Villa-CoveredArea3375Sq.Ft)SoldOut
1BedsFlats(GroundFloor-CoveredArea875Sq.Ft(SoldOut)SoldOut
1BedsFlats(FirstFloor-CoveredArea908Sq.Ft)SoldOut
1BedsFlats(SecondFloor-CoveredArea908Sq.Ft)SoldOut
","1,125Sq.Ft.
1,125Sq.Ft.
1,125Sq.Ft.
1,237Sq.Ft.
1,237Sq.Ft.
1,237Sq.Ft.
1,575Sq.Ft.
1,575Sq.Ft.
1,575Sq.Ft.
2,398Sq.Ft.
2,399Sq.Ft.
2,399Sq.Ft.
5Marla
5.8Marla
7Marla
11Marla
1,125Sq.Ft.
1,125Sq.Ft.
1,125Sq.Ft.
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
","PKR52.48Lakh
PKR51.36Lakh
PKR49.13Lakh
PKR53.5Lakh
PKR52Lakh
PKR50.5Lakh
PKR68.66Lakh
PKR66.93Lakh
PKR65.32Lakh
PKR91.55Lakh
PKR90.44Lakh
PKR89.32Lakh
PKR1.05Crore
PKR1.27Crore
PKR1.49Crore
PKR2.18Crore
PKR44.1Lakh
PKR42.76Lakh
PKR40.75Lakh
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
","https://images.zameen.com/w1600_h900/7/170/icon_valley_21519.jpg
",https://www.zameen.com/new-projects/icon_valley-170.html
7,428,Nawab Town,"Flats, Houses",Lahore,Ark Villas,0,"1BedsFlats(GroundFloorToSecondFloor)
2BedsFlats(GroundFloorToSecondFloor)
3BedsHouses(House)
3BedsHouses(Radial)
4BedsHouses(House)
4BedsHouses(House)
","1,034Sq.Ft.
5Marla
6Marla
0
0
0
0
0
0
","1,061Sq.Ft.
6Marla
7Marla
0
0
0
0
0
0
","https://images.zameen.com/w1600_h900/7/428/ark_villas_23127.jpg
",https://www.zameen.com/new-projects/ark_villas-428.html
8,1304,Ferozepur Roa,PKR65  Lakh to 90  Lakh,Lahore,Houses,Pak Arab Developers,"Houses(DoubleStoreyHouse)
Houses(DoubleStoreyHouse)
","3Marla
5Marla
","PKR65Lakh
PKR90Lakh
",,https://www.zameen.com/new-projects/pak_arab_housing_scheme_meadow_homes-1304.html
9,787,Raiwind Roa,PKR25  Lakh to 1.1 Crore,Lahore,"Residential Plots, Houses, Flats",Maaher Builders &amp; Developers,"ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
3BedsHouses(House)
4BedsHouses(House)
Houses(House)
Houses(House)
Flats(Apartment)
","5Marla
10Marla
12Marla
5Marla
5Marla
10Marla
12Marla
1,000Sq.Ft.
0
0
","PKR25Lakh
PKR45Lakh
PKR54Lakh
PKR70Lakh
PKR75Lakh
PKR1Crore
PKR1.1Crore
PKR40Lakh
0
0
","https://images.zameen.com/w1600_h900/7/787/st_greenlands_20621.jpg
https://images.zameen.com/w1600_h900/7/787/st_greenlands_20622.jpg
",https://www.zameen.com/new-projects/st_greenlands-787.html
